"Number","Title","Artist"
"190","Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva"
"191","I Hate Luv Storys","Vishal Dadlani"
"192","Rishte Naate","Rahat Fateh Ali Khan"
"193","Tere Sang Yaara","Atif Aslam"
"194","Humdard","Arijit Singh"
"195","Teri Meri Kahaani","Arijit Singh"
"196","Woh Lamhe Woh Baatein (From ""Zeher"")","Atif Aslam"
"197","Right Now Now","Wajid"
"198","Mauja Hi Mauja","Mika Singh"
"199","Tujhko Jo Paaya","Mohit Chauhan"
